"vars","class","missing_obs","factor_levels","group"
"bill_elec_winter_8","factor",10914,"$201 to $300 dollars per month, $401 to $500 dollars per month, $0 to $50 dollars per month, $301 to $400 dollars per month, $101 to $200 dollars per month, My household does not directly pay an electricity bill., $51 to $100 dollars per month, $500 dollars or more per month","bill.vars"
"bill_elec_summer_8","factor",10914,"$301 to $400 dollars per month, $201 to $300 dollars per month, $0 to $50 dollars per month, $101 to $200 dollars per month, $401 to $500 dollars per month, My household does not directly pay an electricity bill., $51 to $100 dollars per month, $500 dollars or more per month","bill.vars"
"bill_elec_winter_num_mid","numeric",10914,"","bill.vars"
"bill_elec_summer_num_mid","numeric",10914,"","bill.vars"
"bill_elec_num","numeric",10177,"","bill.vars"
"bill_natgas_winter_7","factor",11177,"Over $400 dollars per month, $0 to $50 dollars per month, $201 to $300 dollars per month, $51 to $100 dollars per month, My household does not directly pay a natural gas bill., $101 to $200 dollars per month, $301 to $400 dollars per month","bill.vars"
"bill_natgas_summer_7","factor",11177,"$0 to $50 dollars per month, $51 to $100 dollars per month, $201 to $300 dollars per month, $301 to $400 dollars per month, My household does not directly pay a natural gas bill., $101 to $200 dollars per month, Over $400 dollars per month","bill.vars"
"bill_natgas_winter_num_mid","numeric",11247,"","bill.vars"
"bill_natgas_summer_num_mid","numeric",11250,"","bill.vars"
"bill_natgas_num","numeric",10770,"","bill.vars"
"bill_heatingoil_winter_7","factor",11771,"$0 to $50 dollars per month, $101 to $200 dollars per month, $201 to $300 dollars per month, $51 to $100 dollars per month, My household does not directly pay a heating oil bill., Over $400 dollars per month, $301 to $400 dollars per month","bill.vars"
"bill_heatingoil_winter_num_mid","numeric",11772,"","bill.vars"
"bill_heatingoil_num","numeric",11765,"","bill.vars"
"bill_diesel_13","factor",8468,"$400-$449, $100-$149, $50-$99, $150-$199, I don't know, $250-$299, $200-$249, $350-$399, $500 or more, $0, $300-$349, $0-$49, $450-$499","bill.vars"
"bill_diesel_num_mid","numeric",8609,"","bill.vars"
"bill_diesel_num","numeric",9969,"","bill.vars"
